AIRLINE,COUNTRY,INFORMATION
Gulf Wings,  Saudi Arabia, inactive (with supported aircraft)
Gulfstream International Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to Silver Airways
GullivAir,  Bulgaria,  1 aircraft 
Guna Airlines,  India, inactive (with supported aircraft)
Guyana 2000,  Guyana, inactive (with supported aircraft)
Guyana Airways,  Guyana, inactive (with supported aircraft)Renamed / Merged to Guyana 2000
GX Airlines,  China,  25 aircraft 
Hainan Airlines,  China,  209 aircraft 
Haiti Air,  Haiti, inactive (with supported aircraft)
Haiti Trans Air,  Haiti, inactive (with supported aircraft)
Hak Air,  Nigeria, inactive (with supported aircraft)
Hala Air,  Libya,  1 aircraft 
Halcyon Air,  Cape Verde, inactive (with supported aircraft)
Halisa Air,  Haiti, inactive (with supported aircraft)
Halla Airlines,  Somalia,  2 aircraft 
Hamburg Airlines,  Germany, inactive (with supported aircraft)
Hamburg Airways,  Germany, inactive (with supported aircraft)
Hamburg Chile,  Chile, inactive (with supported aircraft)
Hamburg International,  Germany, inactive (with supported aircraft)
Hangar 8,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Gama Aviation
Hans Airways,  United Kingdom, inactive (with supported aircraft)
Hansung Airlines,  South Korea, inactive (with supported aircraft)
Hapag Lloyd,  Germany, inactive (with supported aircraft)Renamed / Merged to TUIfly
Hapag Lloyd Express,  Germany, inactive (with supported aircraft)Renamed / Merged to TUIfly
Happy Air,  Thailand, inactive (with supported aircraft)
Harlequin Air,  Japan, inactive (with supported aircraft)Renamed / Merged to Japan Airlines Domestic
Harmony Airways,  Canada, inactive (with supported aircraft)
Havana Air,  Cuba, inactive (with supported aircraft)
Hawaii Express,  USA, inactive (with supported aircraft)
Hawaiian Airlines,  USA,  61 aircraft 
Hawkair AS,  Canada, inactive (with supported aircraft)
Hawker Pacific,  Australia, inactive (with supported aircraft)
Hazelton Airlines,  Australia, inactive (with supported aircraft)Renamed / Merged to REX Regional Express
HC Airlines,  United Kingdom, inactive (with supported aircraft)
Heavylift Cargo,  United Kingdom, inactive (with supported aircraft)
Heavylift Cargo Airlines,  Australia, inactive (with supported aircraft)
HeavyLift International,  United Arab Emirates, inactive (with supported aircraft)
Hebei Airlines,  China,  32 aircraft 
Heli Malongo,  Angola,  1 aircraft 
HeliAng,  Angola, inactive (with supported aircraft)
Helijet International,  Canada, inactive (with supported aircraft)
Heliopolis Airlines,  Egypt, inactive (with supported aircraft)Renamed / Merged to Flash Airlines
Helios Airways,  Cyprus, inactive (with supported aircraft)Renamed / Merged to Ajet
Helitrans,  Norway, inactive (with supported aircraft)
Helitt Lineas Aereas,  Spain, inactive (with supported aircraft)
Hellas Jet,  Greece, inactive (with supported aircraft)
Hellenic Air Force,  Greece, inactive (with supported aircraft)
Hellenic Imperial Airways,  Greece, inactive (with supported aircraft)
Hellenic Star Airways,  Greece, inactive (with supported aircraft)
Hello,  Switzerland, inactive (with supported aircraft)
Hello Airlines,  Bangladesh,  1 aircraft 
Hello Jets,  Romania,  2 aircraft 
Helvetic,  Switzerland,  18 aircraft 
Hemus Air,  Bulgaria, inactive (with supported aircraft)
Henan Airlines,  China, inactive (with supported aircraft)
Hendrick Motorsports,  USA,  2 aircraft 
Henson Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to Piedmont
Heritage Air,  Malaysia, inactive (with supported aircraft)
Hermes Airlines,  Greece, inactive (with supported aircraft)
Hermes Aviation,  Malta, inactive (with supported aircraft)
Heston Airlines,  Lithuania,  14 aircraft 
HeviLift,  Papua New Guinea,  5 aircraft 
Hevilift Australia,  Australia, inactive (with supported aircraft)Renamed / Merged to Aerlink
Hewa Bora Airways,"  Congo, Democratic Republic of", inactive (with supported aircraft)Renamed / Merged to Fly Congo
Hex Air,  France, inactive (with supported aircraft)Renamed / Merged to Twin Jet
Hi Air,  South Korea,  4 aircraft 
Hibernian Airlines,  Ireland,  3 aircraft 
HiFly,  Portugal,  1 aircraft 
HiFly Malta,  Malta,  8 aircraft 
Highland Express,  United Kingdom, inactive (with supported aircraft)
Hillwood Airways,  USA,  3 aircraft 
Himalaya Airlines,  Nepal,  4 aircraft 
HiSky Europe,  Romania,  6 aircraft 
HiSky Moldova,  Moldova,  1 aircraft 
Hispania Lineas Aereas,  Spain, inactive (with supported aircraft)
HMY Airways,  Canada, inactive (with supported aircraft)Renamed / Merged to Harmony Airways
Hokkaido Air System,  Japan,  3 aircraft 
Hokkaido Int Airlines - Air Do,  Japan,  12 aircraft 
Hola Airlines,  Spain, inactive (with supported aircraft)
Hold Trade Air,  Niger, inactive (with supported aircraft)
Holiday Air,  Turkey, inactive (with supported aircraft)
Holiday Europe,  Bulgaria, inactive (with supported aircraft)
Holiday Jet,  Switzerland, inactive (with supported aircraft)
Holidays Czech Airlines,  Czech Republic, inactive (with supported aircraft)
Holland Aerolines,  Netherlands, inactive (with supported aircraft)
Holland Exel,  Netherlands, inactive (with supported aircraft)Renamed / Merged to ArkeFly
Hong Kong Air Cargo,  Hong-Kong,  6 aircraft 
Hong Kong Airlines,  Hong-Kong,  16 aircraft 
Hong Kong Express Airways,  Hong-Kong,  28 aircraft 
Hongkong Jet,  Hong-Kong,  1 aircraft 
Hooters Air,  USA, inactive (with supported aircraft)
Hop!,  France,  33 aircraft 
Horizon Air,  USA,  39 aircraft 
Hungarian Air Force,  Hungary,  2 aircraft 
Hunnu Air,  Mongolia,  2 aircraft 
Hunting Cargo Airlines,  United Kingdom, inactive (with supported aircraft)
Hydro Air,  South Africa, inactive (with supported aircraft)
Hydro-Quebec,  Canada,  3 aircraft 
Hyperion Aviation,  Malta,  1 aircraft 
I-Fly,  Russia,  5 aircraft 
I-Fly Air,  Kenya,  3 aircraft 
iAero Airways,  USA,  40 aircraft 
IAI Israel,  Israel, inactive (with supported aircraft)
IAL,  USA, inactive (with supported aircraft)
IBC Airways,  USA,  7 aircraft 
Iberia,  Spain,  85 aircraft 
Iberia Express,  Spain,  26 aircraft 
Iberline,  Spain, inactive (with supported aircraft)
Iberojet,  Spain,  7 aircraft 
Ibertrans,  Spain, inactive (with supported aircraft)
Iberworld,  Spain, inactive (with supported aircraft)Renamed / Merged to Orbest Orizonia Airlines
Ibex Air Charter,  Lebanon, inactive (with supported aircraft)
Ibex Airlines,  Japan,  9 aircraft 
Ibom Air,  Nigeria,  6 aircraft 
Icar Air,  Bosnia-Hercegovina, inactive (with supported aircraft)
Icaro,  Ecuador, inactive (with supported aircraft)
Icaro Express,  Ecuador, inactive (with supported aircraft)
ICC Cargo,  Canada, inactive (with supported aircraft)
Iceland Express,  Iceland, inactive (with supported aircraft)
Icelandair,  Iceland,  39 aircraft 
Icelandic Coast Guard,  Iceland,  1 aircraft 
Icelandic MD Airlines,  Iceland, inactive (with supported aircraft)
ICS - Intercargo Services,  France, inactive (with supported aircraft)Renamed / Merged to ICS - InterCiel Services
ICS - InterCiel Services,  France, inactive (with supported aircraft)Renamed / Merged to L Aeropostale
IFL Group,  USA,  4 aircraft 
Ikar Pegas Fly,  Russia,  6 aircraft 
Illyrian airways,  Republic of Kosovo, inactive (with supported aircraft)
Ilya K.,  Peru, inactive (with supported aircraft)
IMD Airways,  Spain, inactive (with supported aircraft)
Imetame,  Brazil,  1 aircraft 
Impala Air,  Burundi, inactive (with supported aircraft)
Imperial Air Cargo,  South Africa, inactive (with supported aircraft)
ImperialJet,  Lebanon, inactive (with supported aircraft)
Impulse Airlines,  Australia, inactive (with supported aircraft)
Independence Air,  USA, inactive (with supported aircraft)
Indian Air Force,  India,  17 aircraft 
Indian Airlines,  India, inactive (with supported aircraft)Renamed / Merged to Air India
Indigo,  India,  300 aircraft 
Indigo Air,  USA, inactive (with supported aircraft)
Indochina Airlines,  Vietnam, inactive (with supported aircraft)
Indonesia Air Transport,  Indonesia,  3 aircraft 
Indonesia AirAsia,  Indonesia,  25 aircraft 
Indonesia Airasia X,  Indonesia, inactive (with supported aircraft)
Indonesia Government,  Indonesia,  1 aircraft 
Indonesian Air Force,  Indonesia,  8 aircraft 
Indonesian Airlines,  Indonesia, inactive (with supported aircraft)
Indus Air,  India, inactive (with supported aircraft)
Inex Adria Airways,  Yugoslavia, inactive (with supported aircraft)
Inner Mongolian Airlines,  China, inactive (with supported aircraft)Renamed / Merged to Air China
Insel Air International,  Netherlands Antilles, inactive (with supported aircraft)
InselAir Aruba,  Aruba, inactive (with supported aircraft)
Intair,  Canada, inactive (with supported aircraft)Renamed / Merged to Canadian Airlines
Intal Air,  Kyrgyzstan, inactive (with supported aircraft)
Intel Air Shuttle Aircraft,  USA,  6 aircraft 
Inter Air Services,  Algeria, inactive (with supported aircraft)
Inter America,  Mexico, inactive (with supported aircraft)
Inter Canadian,  Canada, inactive (with supported aircraft)Renamed / Merged to Intair
Inter European Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Airtours International
Inter Express Airlines,  Turkey, inactive (with supported aircraft)
Inter Iles Air,  Comoros, inactive (with supported aircraft)
Inter Island Airlines,  Cape Verde, inactive (with supported aircraft)
Inter-Aero,  Canada, inactive (with supported aircraft)
Interair South African,  South Africa, inactive (with supported aircraft)
Interbrasil Star,  Brazil, inactive (with supported aircraft)
interCaribbean,  Turks & Caicos Islands,  12 aircraft 
Intercontinental,  Colombia, inactive (with supported aircraft)
Interflug,  Germany, inactive (with supported aircraft)
Interjet,  Mexico, inactive (with supported aircraft)
InterJet Hellenic,  Greece, inactive (with supported aircraft)
Interjet West,  USA, inactive (with supported aircraft)
Interlink Airlines,  South Africa, inactive (with supported aircraft)
Intermediacion,  Spain, inactive (with supported aircraft)
International Air Services,  Liberia, inactive (with supported aircraft)
International Business Air,  Sweden, inactive (with supported aircraft)
International Caribbean Airways,  Barbados, inactive (with supported aircraft)
International Jet Management,  Austria, inactive (with supported aircraft)
International Trans Air Business,"  Congo, Democratic Republic of", inactive (with supported aircraft)
Interot Airways,  Germany, inactive (with supported aircraft)Renamed / Merged to Augsburg Airways
Intersky,  Austria, inactive (with supported aircraft)
Interstate,  Netherlands, inactive (with supported aircraft)
Ion Tiriac,  Romania, inactive (with supported aircraft)
IPP Air Cargo,  Vietnam, inactive (with supported aircraft)
IrAero,  Russia,  9 aircraft 
Iran Air,  Iran,  17 aircraft 
Iran Air Force,  Iran,  6 aircraft 
Iran Air Tour,  Iran,  10 aircraft 
Iran Aseman Airlines,  Iran,  7 aircraft 
Iranian Air Transport,  Iran, inactive (with supported aircraft)Renamed / Merged to Naft Air Lines
Iranian Gvmt,  Iran,  2 aircraft 
Iraq Gate,  Iraq,  2 aircraft 
Iraqi Airways,  Iraq,  26 aircraft 
Iraqi Gvmt,  Iraq, inactive (with supported aircraft)
Irkut Corporation,  Russia,  2 aircraft 
IRS Airlines,  Nigeria, inactive (with supported aircraft)
ISD Avia,  Ukraine, inactive (with supported aircraft)
Islamic Rep of Iran,  Iran, inactive (with supported aircraft)
Island Air,  USA, inactive (with supported aircraft)
Island Aviation Services,  Maldives, inactive (with supported aircraft)Renamed / Merged to MALDIVIAN
Island Transvoyageur,  Philippines, inactive (with supported aircraft)Renamed / Merged to AirSwift
Islandsflug,  Iceland, inactive (with supported aircraft)Renamed / Merged to Air Atlanta Icelandic
Islas Airways,  Spain, inactive (with supported aircraft)
Islena Airlines,  Honduras, inactive (with supported aircraft)
Israir,  Israel,  6 aircraft 
Istanbul Airlines,  Turkey, inactive (with supported aircraft)
ITA - Italia Trasporto Aereo,  Italy,  74 aircraft 
ITA Transportes Aereos,  Brazil, inactive (with supported aircraft)
Italair,  Italy, inactive (with supported aircraft)
ItAli Airlines,  Italy, inactive (with supported aircraft)
Italian Air Force,  Italy,  17 aircraft 
Italiatour Airlines,  Italy, inactive (with supported aircraft)
Italjet,  Italy, inactive (with supported aircraft)
Italy First,  Italy, inactive (with supported aircraft)
Itek Air,  Kyrgyzstan, inactive (with supported aircraft)
Ivolga Airlines,  Russia, inactive (with supported aircraft)
Izhavia,  Russia,  2 aircraft 
Izmir Airlines,  Turkey, inactive (with supported aircraft)
J-Air,  Japan,  32 aircraft 
Jade Cargo International,  China, inactive (with supported aircraft)
Jagson Airlines,  India, inactive (with supported aircraft)
JAL Express,  Japan, inactive (with supported aircraft)Renamed / Merged to Japan Airlines
JAL Ways,  Japan, inactive (with supported aircraft)
Jambojet,  Kenya,  8 aircraft 
Japan Air Charter,  Japan, inactive (with supported aircraft)Renamed / Merged to Japan Airlines
Japan Air Commuter,  Japan,  11 aircraft 
Japan Air System,  Japan, inactive (with supported aircraft)Renamed / Merged to Japan Airlines Domestic
Japan Airlines,  Japan,  145 aircraft 
Japan Airlines Domestic,  Japan, inactive (with supported aircraft)Renamed / Merged to Japan Airlines
Japan Asia Airways,  Japan, inactive (with supported aircraft)Renamed / Merged to Japan Airlines
Japan Civil Aviation Bureau,  Japan, inactive (with supported aircraft)
Japan Coast Guard,  Japan,  12 aircraft 
Japan Transocean,  Japan,  14 aircraft 
Japanese Air Self Defence Force,  Japan,  10 aircraft 
Japanese Gvmt,  Japan, inactive (with supported aircraft)
Jasmin Airways,  Tunisia,  1 aircraft 
JAT Airways,  Serbia, inactive (with supported aircraft)Renamed / Merged to Air Serbia
Jatayu Air,  Indonesia, inactive (with supported aircraft)
Jayawijaya Dirgantara,  Indonesia,  3 aircraft 
Jazeera Airways,  Kuwait,  23 aircraft 
Jazz Aviation,  Canada,  112 aircraft 
JC International Airlines,  Cambodia, inactive (with supported aircraft)
JD Airlines,  China,  6 aircraft 
JEDAir,  Nigeria, inactive (with supported aircraft)
Jeju Air,  South Korea,  39 aircraft 
Jerdan Bermuda,  Bermuda, inactive (with supported aircraft)
Jersey European Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to British European Airways
Jes Air,  Bulgaria, inactive (with supported aircraft)
Jet 4 Now,  South Africa, inactive (with supported aircraft)
Jet Air,  Poland, inactive (with supported aircraft)Renamed / Merged to OLT Express Regional
Jet Airways,  India, inactive (with supported aircraft)
Jet Alliance,  Austria, inactive (with supported aircraft)
Jet Alsace,  France, inactive (with supported aircraft)Renamed / Merged to Transalsace
Jet America Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to Alaska Airlines
Jet Asia Airways,  Thailand, inactive (with supported aircraft)
Jet Aviation Business Jet,  Switzerland, inactive (with supported aircraft)
Jet Aviation Flight Services,  Malta,  1 aircraft 
Jet East,  USA, inactive (with supported aircraft)Renamed / Merged to Express One
Jet Express,  USA, inactive (with supported aircraft)
Jet Express Airlines,  Russia,  3 aircraft 
Jet Fleet,  USA, inactive (with supported aircraft)
Jet Link Holland,  Netherlands, inactive (with supported aircraft)
Jet Magic,  Malta,  1 aircraft 
Jet Star,  Moldova, inactive (with supported aircraft)
Jet Story,  Poland,  3 aircraft 
Jet Time,  Denmark, inactive (with supported aircraft)
Jet Time Finland,  Finland, inactive (with supported aircraft)
Jet Way,  USA, inactive (with supported aircraft)
Jet2,  United Kingdom,  116 aircraft 
Jet4you,  Morocco, inactive (with supported aircraft)
JetAir Caribbean,  Netherlands Antilles,  1 aircraft 
JetairFly,  Belgium, inactive (with supported aircraft)Renamed / Merged to TUI Airlines Belgium
Jetall,  Canada, inactive (with supported aircraft)
JetBlue Airways,  USA,  286 aircraft 
JetClub,  Switzerland, inactive (with supported aircraft)
Jetconnect - Qantas NZ,  New Zealand, inactive (with supported aircraft)
Jetcraft Aviation,  Australia, inactive (with supported aircraft)Renamed / Merged to Toll Aviation
JetGo Australia,  Australia, inactive (with supported aircraft)
Jetisfaction,  Germany, inactive (with supported aircraft)
JetKonnect,  India, inactive (with supported aircraft)
Jetlease Air Cargo,  USA, inactive (with supported aircraft)
Jetlines,  Canada,  3 aircraft 
Jetlink Express,  Kenya, inactive (with supported aircraft)
JetLite,  India, inactive (with supported aircraft)Renamed / Merged to JetKonnect
Jetlite Air,  Kenya, inactive (with supported aircraft)
JetMagic,  Ireland, inactive (with supported aircraft)
JetNetherlands,  Netherlands,  3 aircraft 
JetOneX,  USA,  2 aircraft 
JetranAir,  Romania, inactive (with supported aircraft)
Jetsgo,  Canada, inactive (with supported aircraft)
JetSMART,  Chile,  12 aircraft 
JetSMART Argentina,  Argentina,  9 aircraft 
JetSMART Peru,  Peru,  3 aircraft 
Jetstar,  Australia,  78 aircraft 
Jetstar Asia,  Singapore,  7 aircraft 
Jetstar Hong Kong ,  Hong-Kong, inactive (with supported aircraft)
Jetstar Japan,  Japan,  22 aircraft 
Jetstar Pacific,  Vietnam, inactive (with supported aircraft)Renamed / Merged to Pacific Airlines
Jetstream International Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to PSA Airlines
Jett8 Airlines Cargo,  Singapore, inactive (with supported aircraft)
Jettime,  Denmark,  11 aircraft 
Jetways Airlines,  Kenya,  5 aircraft 
JetX,  Iceland, inactive (with supported aircraft)Renamed / Merged to Primera Air
JHM Cargo,  Costa Rica, inactive (with supported aircraft)Renamed / Merged to TACA
Jhonlin Air Transport,  Indonesia, inactive (with supported aircraft)
Jiangsu Business Aviation,  China,  3 aircraft 
Jiangxi Air,  China,  16 aircraft 
Jiangxi Airlines,  China, inactive (with supported aircraft)
Jin Air,  South Korea,  27 aircraft 
Jinxiang Airlines,  China,  1 aircraft 
JMC Airlines,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Thomas Cook UK
Job Air,  Czech Republic, inactive (with supported aircraft)Renamed / Merged to Central Connect Airlines - CCA
Jones Chris,  USA, inactive (with supported aircraft)
Jonika,  Ukraine, inactive (with supported aircraft)
Joon,  France, inactive (with supported aircraft)Renamed / Merged to Air France
Jordan Aviation,  Jordan,  6 aircraft 
Jordanian Gvmt,  Jordan, inactive (with supported aircraft)
Jota Aviation,  United Kingdom, inactive (with supported aircraft)
Joy Air,  China,  5 aircraft 
JSX,  USA,  45 aircraft 
Jubba Airways,  Somalia,  1 aircraft 
Jubba Airways Kenya,  Kenya, inactive (with supported aircraft)
Jumbo Jet,  USA, inactive (with supported aircraft)
Jump Air,  Lithuania,  3 aircraft 
Juneyao Airlines,  China,  92 aircraft 
Jupiter Airlines,  Gambia, inactive (with supported aircraft)
JUST,  Japan, inactive (with supported aircraft)
Just Us Air,  Romania, inactive (with supported aircraft)Renamed / Merged to Dan Air
K-Mile Asia,  Thailand,  5 aircraft 
K2 Airways,  Pakistan, inactive (with supported aircraft)
K5 Aviation,  Germany,  3 aircraft 
Kabo Air,  Nigeria, inactive (with supported aircraft)
Kaiken Lineas Aereas,  Argentina, inactive (with supported aircraft)
Kairways,  USA, inactive (with supported aircraft)
Kaiser Air,  USA,  4 aircraft 
Kalair,  USA,  1 aircraft 
Kalitta Air,  USA,  29 aircraft 
Kalitta Charters II,  USA,  11 aircraft 
Kallat El Saker Air,  Libya, inactive (with supported aircraft)
KalStar Aviation,  Indonesia, inactive (with supported aircraft)
Kam Air,  Afghanistan,  7 aircraft 
Kampuchea Airlines,  Cambodia, inactive (with supported aircraft)
Kan Air,  Thailand, inactive (with supported aircraft)
KAP.KG Aircompany,  Kyrgyzstan, inactive (with supported aircraft)
Kar-air,  Finland, inactive (with supported aircraft)Renamed / Merged to Finnair
Kargo Xpress,  Malaysia,  4 aircraft 
Karibu Airways,  Ethiopia, inactive (with supported aircraft)
Karinou Airlines,  Central African Republic, inactive (with supported aircraft)
Karthago Airlines,  Tunisia, inactive (with supported aircraft)Renamed / Merged to Nouvelair
Kartika Airlines,  Indonesia, inactive (with supported aircraft)
Karun Airlines,  Iran,  10 aircraft 
Katekavia,  Russia, inactive (with supported aircraft)Renamed / Merged to Azur Air
Kaya Airlines,  Mozambique, inactive (with supported aircraft)
Kaz Air Trans,  Qazakhstan, inactive (with supported aircraft)
Kazakstan Airlines,  Qazakhstan, inactive (with supported aircraft)
Kazakstan Gvmt,  Qazakhstan,  2 aircraft 
KC International Airlines,  Cambodia, inactive (with supported aircraft)
KD Avia,  Russia, inactive (with supported aircraft)
Kelowna Flightcraft,  Canada, inactive (with supported aircraft)Renamed / Merged to KF Cargo
Kendell Airlines,  Australia, inactive (with supported aircraft)Renamed / Merged to REX Regional Express
Kenya Air Force,  Kenya,  3 aircraft 
Kenya Airways,  Kenya,  32 aircraft 
Kenya Flamingo Airways,  Kenya, inactive (with supported aircraft)
Key Airlines,  USA, inactive (with supported aircraft)
Key Lime Air,  USA,  5 aircraft 
Keyway Air Transport,  USA, inactive (with supported aircraft)
KF Cargo,  Canada, inactive (with supported aircraft)
Khalifa Airways,  Algeria, inactive (with supported aircraft)
Kharkiv Airlines,  Ukraine, inactive (with supported aircraft)
Khors Aircompany,  Ukraine, inactive (with supported aircraft)
Khozu Avia,  Qazakhstan, inactive (with supported aircraft)
Kibris Turk Hava Yollari (KTHY),  Turkey, inactive (with supported aircraft)
Kingfisher Airlines,  India, inactive (with supported aircraft)
Kingfisher Red,  India, inactive (with supported aircraft)
Kinshasa Airways,  Congo, inactive (with supported aircraft)
Kish Air,  Iran,  9 aircraft 
Kitty Hawk Aircargo,  USA, inactive (with supported aircraft)
Kitty Hawk International,  USA, inactive (with supported aircraft)
Kiwi,  New Zealand, inactive (with supported aircraft)Renamed / Merged to Air Chathams
Kiwi International Airlines,  USA, inactive (with supported aircraft)
Kiwi Travel International Airlines,  New Zealand, inactive (with supported aircraft)
KlasJet,  Lithuania,  10 aircraft 
KLM,  Netherlands,  110 aircraft 
KLM Cityhopper,  Netherlands,  65 aircraft 
KLM Exel,  Netherlands, inactive (with supported aircraft)
KLM uk,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Buzz UK
Kolavia,  Russia, inactive (with supported aircraft)Renamed / Merged to Metrojet Russia
Komiaviatrans State Air Enterprise,  Russia, inactive (with supported aircraft)
Koral Blue,  Egypt, inactive (with supported aircraft)
Korea Express Air,  South Korea, inactive (with supported aircraft)
Korean Air,  South Korea,  145 aircraft 
Korongo Airlines,"  Congo, Democratic Republic of", inactive (with supported aircraft)
Kosova Airlines,  Yugoslavia, inactive (with supported aircraft)
Kostar Airlines,  South Korea, inactive (with supported aircraft)
Kras Air,  Russia, inactive (with supported aircraft)
Krasavia,  Russia,  3 aircraft 
Kuban Airlines,  Russia, inactive (with supported aircraft)
Kulula,  South Africa, inactive (with supported aircraft)
Kunming Airlines,  China,  30 aircraft 
Kunpeng Airlines,  China, inactive (with supported aircraft)Renamed / Merged to Henan Airlines
Kurdistan Airlines,  Iraq, inactive (with supported aircraft)
Kuwait Airways,  Kuwait,  33 aircraft 
Kuzu Airlines Cargo,  Turkey, inactive (with supported aircraft)Renamed / Merged to ULS Airlines Cargo
Kyrgyz Airways,  Kyrgyzstan, inactive (with supported aircraft)Renamed / Merged to Air Bishkek
Kyrgyzstan Aircompany,  Kyrgyzstan, inactive (with supported aircraft)
Kyrnair,  France, inactive (with supported aircraft)
L Aeropostale,  France, inactive (with supported aircraft)Renamed / Merged to Europe Airpost
La Compagnie,  France,  2 aircraft 
La Costena,  Nicaragua, inactive (with supported aircraft)
La Tur Charter,  Mexico, inactive (with supported aircraft)
LABoliviano,  Bolivia, inactive (with supported aircraft)
Labrador Airways,  Canada, inactive (with supported aircraft)
LAC (Lineas Aereas Canarias),  Spain, inactive (with supported aircraft)Renamed / Merged to Meridiana Air
LAC Linea Aerea Cuencana,  Ecuador, inactive (with supported aircraft)
LACSA,  Costa Rica, inactive (with supported aircraft)Renamed / Merged to Avianca Costa Rica
LADECO,  Chile, inactive (with supported aircraft)Renamed / Merged to LAN Express
LADS,  Australia, inactive (with supported aircraft)
LAER,  Argentina, inactive (with supported aircraft)
Lagun Air,  Spain, inactive (with supported aircraft)
Laker Airways,  United Kingdom, inactive (with supported aircraft)
LAM Linhas Aereas De Mocambique,  Mozambique,  4 aircraft 
LAMIA,  Venezuela, inactive (with supported aircraft)
LAMIA Bolivia,  Bolivia, inactive (with supported aircraft)
LAN Airlines,  Chile, inactive (with supported aircraft)Renamed / Merged to LATAM Chile
LAN Argentina,  Argentina, inactive (with supported aircraft)Renamed / Merged to LATAM Argentina
LAN Cargo,  Chile, inactive (with supported aircraft)Renamed / Merged to LATAM Cargo
LAN Chile,  Chile, inactive (with supported aircraft)Renamed / Merged to LAN Airlines
LAN Colombia,  Colombia, inactive (with supported aircraft)Renamed / Merged to LATAM Colombia
LAN Ecuador,  Ecuador, inactive (with supported aircraft)Renamed / Merged to LATAM Ecuador
LAN Express,  Chile, inactive (with supported aircraft)Renamed / Merged to LAN Airlines
LAN Peru,  Peru, inactive (with supported aircraft)Renamed / Merged to LATAM Peru
Lanco,  Colombia, inactive (with supported aircraft)
LaneXang,  Laos,  1 aircraft 
Lanmei Airlines,  Cambodia,  1 aircraft 
Lao Airlines,  Laos,  10 aircraft 
Lao Aviation,  Laos, inactive (with supported aircraft)Renamed / Merged to Lao Airlines
Lao Central Airlines,  Laos, inactive (with supported aircraft)
LAPA,  Argentina, inactive (with supported aircraft)Renamed / Merged to ARG
LAPSA Air Paraguay,  Paraguay, inactive (with supported aircraft)Renamed / Merged to TAM - Transportes Aereos del Mercosur
LAR,  Portugal, inactive (with supported aircraft)
LAR European Airlines,  Romania, inactive (with supported aircraft)
LASA,  Argentina, inactive (with supported aircraft)
Laser Airlines,  Venezuela,  8 aircraft 
LAT Charter Airlines,  Latvia, inactive (with supported aircraft)Renamed / Merged to SmartLynx
LATAM Argentina,  Argentina, inactive (with supported aircraft)
LATAM Brasil,  Brazil,  135 aircraft 
LATAM Cargo,  Colombia,  14 aircraft 
LATAM Cargo Brasil,  Brazil,  3 aircraft 
LATAM Cargo Mexico,  Mexico, inactive (with supported aircraft)
LATAM Chile,  Chile,  98 aircraft 
LATAM Colombia,  Colombia,  14 aircraft 
LATAM Ecuador,  Ecuador,  6 aircraft 
LATAM Peru,  Peru,  37 aircraft 
Latinair Cargo,  Brazil, inactive (with supported aircraft)
Lattitude Hub,  Spain, inactive (with supported aircraft)
Lauda Air,  Austria, inactive (with supported aircraft)Renamed / Merged to Austrian Airlines
Lauda Air Italy,  Italy, inactive (with supported aircraft)Renamed / Merged to Livingston
Lauda Europe,  Malta,  28 aircraft 
Laudamotion,  Austria, inactive (with supported aircraft)
LAW Latin American Wings,  Chile, inactive (with supported aircraft)
LC Peru,  Peru, inactive (with supported aircraft)
Leading Edge,  Philippines,  2 aircraft 
Leal Lineas Aereas,  Argentina, inactive (with supported aircraft)
Lease Fly,  Portugal, inactive (with supported aircraft)
LEAV Aviation,  Germany,  2 aircraft 
LebanonSky Aviation,  Lebanon, inactive (with supported aircraft)
Legend Airlines,  Romania,  3 aircraft 
Legends Airways,  USA,  5 aircraft 
Leisure Air,  USA, inactive (with supported aircraft)
Leisure International Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Air 2000
Lequios Airlines,  Japan, inactive (with supported aircraft)
Let s Fly,  Spain, inactive (with supported aircraft)
Level,  Spain,  5 aircraft 
Level Austria (Anisec Luftfahrt),  Austria, inactive (with supported aircraft)
Level France,  France, inactive (with supported aircraft)
LGW Luftfahrtgesellschaft Walter,  Germany, inactive (with supported aircraft)
LIAT,  Antigua Barbuda,  2 aircraft 
Liberia World Airlines,  Liberia, inactive (with supported aircraft)
Libyan Arab Airlines,  Libya,  8 aircraft 
Libyan Express,  Libya,  1 aircraft 
Libyan Wings,  Libya,  4 aircraft 
Libyavia Air Transport,  Libya, inactive (with supported aircraft)
Lift,  South Africa,  5 aircraft 
Lignes Aeriennes Congolaises,"  Congo, Democratic Republic of", inactive (with supported aircraft)
Liliair,  Austria, inactive (with supported aircraft)
Limitless Airways,  Croatia, inactive (with supported aircraft)
Lina Congo,  Congo, inactive (with supported aircraft)
Linea Aerea I.A.A.C.A.,  Venezuela, inactive (with supported aircraft)
Linea Turistica Aereotuy,  Venezuela,  2 aircraft 
Lineas Aereas Azteca,  Mexico, inactive (with supported aircraft)
